,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
5534,0.85570365,0.816357,0.83481437,0.81254196,0.8165491,0.75342405,0.84753907,2019-12-10
5535,0.70955884,0.6590316,0.68530434,0.68281114,0.68202436,0.6201423,0.66670376,2020-01-06
5536,0.24026507,0.21387395,0.24357836,0.24736682,0.2342689,0.25007686,0.26069772,2020-02-01
5537,0.35591197,0.3308669,0.381173,0.34487867,0.3200249,0.33482915,0.36910728,2020-02-04
5538,0.74602276,0.7508917,0.73686224,0.73000795,0.7150311,0.7153083,0.7508811,2020-01-01
5539,0.2809076,0.31966984,0.32685223,0.32365197,0.29291177,0.2470475,0.35186976,2020-03-01
5540,0.38684383,0.3941499,0.39968586,0.36116722,0.3894936,0.39789122,0.37634093,2020-03-29
5541,0.2785815,0.2776243,0.30247125,0.29242042,0.2998019,0.26990974,0.28427273,2020-03-08
5542,0.31689265,0.32247013,0.28042057,0.27660024,0.3188725,0.30311793,0.3414768,2020-01-23
5543,0.3000966,0.35487098,0.3235219,0.3354415,0.3354027,0.3768494,0.3340909,2020-01-24
5544,0.3412164,0.35433358,0.30970415,0.32827407,0.32411033,0.32224312,0.3320457,2020-03-06
5545,0.27013424,0.25494406,0.25515172,0.2915566,0.24965593,0.22805318,0.27731568,2019-11-04
5546,0.24538007,0.28071833,0.26752296,0.270419,0.29422268,0.2792641,0.2778561,2019-12-10
5547,0.26667172,0.25729686,0.29714766,0.2587015,0.29208803,0.21217163,0.3201911,2020-01-06
5548,0.35484898,0.30805588,0.32727277,0.3416231,0.36761117,0.33105317,0.33288437,2020-02-01
5549,0.36470437,0.35063547,0.37415877,0.31458813,0.36639857,0.2605099,0.36903435,2020-02-04
5550,0.2558999,0.27694345,0.28541657,0.27814442,0.29169485,0.2684003,0.29958573,2020-01-01
5551,0.3847508,0.3598879,0.36760533,0.35162747,0.36821347,0.32479787,0.38713133,2020-03-01
5552,0.34409904,0.3247632,0.36245686,0.3351298,0.32744718,0.2826827,0.33002412,2020-03-29
5553,0.2768951,0.35412478,0.37898904,0.32602128,0.35411632,0.30052358,0.3606792,2020-03-08
5554,0.30802295,0.29676268,0.2841931,0.26739213,0.26744097,0.25584286,0.31654787,2020-01-23
5555,0.36607867,0.32703033,0.3506252,0.3579393,0.37003037,0.26816028,0.34920782,2020-01-24
5556,0.390994,0.3986695,0.41025132,0.38928932,0.38731936,0.31836435,0.41799456,2020-03-06
5557,0.3380928,0.3846532,0.41323012,0.39616096,0.3781621,0.3358627,0.40519333,2019-11-04
